ad_output_id,keyword,confidence_score,category,location,impressions,clicks,ctr
5d298a75-a871-49fa-8d81-83ae924790f5,shoes,0.95,object,middle-center,473,7,0.0148
5d298a75-a871-49fa-8d81-83ae924790f5,background,0.9,background,unknown,473,7,0.0148
5d298a75-a871-49fa-8d81-83ae924790f5,logo,0.85,object,middle-right,473,7,0.0148
25a69ed0-a9d1-4d5c-91e1-6c0e0cea9421,young people,0.85,object,middle-center,903,20,0.0221
25a69ed0-a9d1-4d5c-91e1-6c0e0cea9421,black and white sneakers,0.9,object,middle-center,903,20,0.0221
25a69ed0-a9d1-4d5c-91e1-6c0e0cea9421,green surface,0.8,background,bottom-center,903,20,0.0221
25a69ed0-a9d1-4d5c-91e1-6c0e0cea9421,couch,0.75,object,top-right,903,20,0.0221
7a760ff7-c17f-4405-8bcf-e2e08c7a4ba1,Nike Air Force 1 sneaker,0.95,object,middle-center,449,7,0.0156
7a760ff7-c17f-4405-8bcf-e2e08c7a4ba1,black background,0.9,background,unknown,449,7,0.0156
7a760ff7-c17f-4405-8bcf-e2e08c7a4ba1,speaker,0.8,object,middle-right,449,7,0.0156
7a760ff7-c17f-4405-8bcf-e2e08c7a4ba1,microphone,0.8,object,middle-left,449,7,0.0156
68deb710-4050-4711-8641-c6ded490aa2e,sneakers,0.95,object,middle-center,1292,43,0.0333
68deb710-4050-4711-8641-c6ded490aa2e,road,0.9,background,bottom-center,1292,43,0.0333
9bf9387e-f496-45e3-966d-8a697922f631,young woman,0.95,object,middle-center,715,12,0.0168
9bf9387e-f496-45e3-966d-8a697922f631,white shirt,0.9,object,top-center,715,12,0.0168
9bf9387e-f496-45e3-966d-8a697922f631,grey sweatpants,0.92,object,bottom-center,715,12,0.0168
9bf9387e-f496-45e3-966d-8a697922f631,white background,0.98,background,unknown,715,12,0.0168
9bf9387e-f496-45e3-966d-8a697922f631,confidence,0.85,emotion,unknown,715,12,0.0168
9d619173-8e62-4554-89a7-b5c3c85a510b,young woman,0.9,object,middle-center,619,13,0.021
9d619173-8e62-4554-89a7-b5c3c85a510b,white pedestal,0.85,object,middle-center,619,13,0.021
9d619173-8e62-4554-89a7-b5c3c85a510b,blue sky,0.8,background,unknown,619,13,0.021
9d619173-8e62-4554-89a7-b5c3c85a510b,bright colors,0.7,emotion,unknown,619,13,0.021
f7fd1a63-fda3-43ff-893a-3ce0812b87cc,sneakers,0.95,object,middle-center,446,6,0.0135
f7fd1a63-fda3-43ff-893a-3ce0812b87cc,background,0.9,background,unknown,446,6,0.0135
f7fd1a63-fda3-43ff-893a-3ce0812b87cc,contrast,0.85,emotion,unknown,446,6,0.0135
f7fd1a63-fda3-43ff-893a-3ce0812b87cc,design,0.88,emotion,unknown,446,6,0.0135
edd1b40e-670a-4076-860f-e8b09c8d3cc8,woman,0.95,object,middle-center,642,11,0.0171
edd1b40e-670a-4076-860f-e8b09c8d3cc8,sneaker,0.98,object,bottom-center,642,11,0.0171
edd1b40e-670a-4076-860f-e8b09c8d3cc8,foreground,0.85,background,unknown,642,11,0.0171
edd1b40e-670a-4076-860f-e8b09c8d3cc8,color scheme,0.9,emotion,unknown,642,11,0.0171
7becac7e-ed32-41f7-897c-31f11d4d1798,Nike,0.95,brand,top-center,1018,31,0.0305
7becac7e-ed32-41f7-897c-31f11d4d1798,sportswear,0.9,object,middle-center,1018,31,0.0305
7becac7e-ed32-41f7-897c-31f11d4d1798,shoes,0.85,object,middle-left,1018,31,0.0305
7becac7e-ed32-41f7-897c-31f11d4d1798,sports balls,0.8,object,bottom-center,1018,31,0.0305
2c173a51-6288-4ab2-bd4a-ba87df6a1c82,young woman,0.95,object,middle-center,1005,28,0.0279
2c173a51-6288-4ab2-bd4a-ba87df6a1c82,black sports bra,0.9,object,middle-center,1005,28,0.0279
2c173a51-6288-4ab2-bd4a-ba87df6a1c82,black tank top,0.85,object,middle-center,1005,28,0.0279
2c173a51-6288-4ab2-bd4a-ba87df6a1c82,room wall,0.75,background,unknown,1005,28,0.0279
538dd5cc-8e14-4117-9136-e5cbd18cc13a,Nike shoe,0.95,object,middle-center,479,8,0.0167
538dd5cc-8e14-4117-9136-e5cbd18cc13a,pink swoosh,0.9,object,middle-left,479,8,0.0167
538dd5cc-8e14-4117-9136-e5cbd18cc13a,red background,0.8,background,unknown,479,8,0.0167
cb0019bb-9512-4e54-b863-4b5fa4a36a61,sneakers,0.95,object,bottom-right,469,3,0.0064
cb0019bb-9512-4e54-b863-4b5fa4a36a61,Nike Air Max 90,0.9,object,middle-center,469,3,0.0064
cb0019bb-9512-4e54-b863-4b5fa4a36a61,depth,0.85,emotion,unknown,469,3,0.0064
cb0019bb-9512-4e54-b863-4b5fa4a36a61,balance,0.8,emotion,unknown,469,3,0.0064
5e569feb-9309-4df0-9b16-6438f99b3708,person,0.95,object,middle-left,434,7,0.0161
5e569feb-9309-4df0-9b16-6438f99b3708,sneakers,0.98,object,middle-center,434,7,0.0161
5e569feb-9309-4df0-9b16-6438f99b3708,close-up,0.9,emotion,unknown,434,7,0.0161
5e569feb-9309-4df0-9b16-6438f99b3708,black jacket,0.85,object,middle-left,434,7,0.0161
d06c1546-47e1-47e9-b5b2-a1a2c4f5740d,Nike shoe,0.95,object,middle-center,656,9,0.0137
d06c1546-47e1-47e9-b5b2-a1a2c4f5740d,white sole,0.9,object,bottom-center,656,9,0.0137
d06c1546-47e1-47e9-b5b2-a1a2c4f5740d,white swoosh logo,0.85,object,middle-right,656,9,0.0137
d06c1546-47e1-47e9-b5b2-a1a2c4f5740d,modern aesthetic,0.8,emotion,unknown,656,9,0.0137
3ea1c76b-12f5-4dad-8a4a-6effbd1ec8d4,shoes,0.95,object,middle-center,1274,51,0.04
3ea1c76b-12f5-4dad-8a4a-6effbd1ec8d4,person,0.9,object,middle-center,1274,51,0.04
3ea1c76b-12f5-4dad-8a4a-6effbd1ec8d4,trail,0.85,background,bottom-center,1274,51,0.04
54d918ec-79c9-46c3-9fbf-d6d23b774096,white sneakers,0.95,object,middle-center,1399,55,0.0393
54d918ec-79c9-46c3-9fbf-d6d23b774096,green stripe,0.9,object,middle-center,1399,55,0.0393
54d918ec-79c9-46c3-9fbf-d6d23b774096,white surface,0.85,background,middle-center,1399,55,0.0393
ecf8e6f3-20cf-413c-be1b-48490a2d1e9a,black and white shoes,0.95,object,middle-center,494,12,0.0243
ecf8e6f3-20cf-413c-be1b-48490a2d1e9a,brown surface,0.9,background,unknown,494,12,0.0243
ecf8e6f3-20cf-413c-be1b-48490a2d1e9a,For the kids,0.85,emotion,top-left,494,12,0.0243
37c03724-cd83-4a13-a7f9-ee0fcfdaad8b,young man,0.9,object,middle-center,1048,29,0.0277
37c03724-cd83-4a13-a7f9-ee0fcfdaad8b,Nike hat,0.95,object,top-center,1048,29,0.0277
37c03724-cd83-4a13-a7f9-ee0fcfdaad8b,Nike shirt,0.95,object,middle-center,1048,29,0.0277
37c03724-cd83-4a13-a7f9-ee0fcfdaad8b,stool,0.85,object,middle-center,1048,29,0.0277
37c03724-cd83-4a13-a7f9-ee0fcfdaad8b,athletic attire,0.9,emotion,unknown,1048,29,0.0277
bd978370-d514-45c9-81bc-9b7d89383d95,Nike sneakers,0.9,object,middle-center,534,6,0.0112
bd978370-d514-45c9-81bc-9b7d89383d95,soccer ball,0.85,object,bottom-right,534,6,0.0112
bd978370-d514-45c9-81bc-9b7d89383d95,soccer field,0.8,background,unknown,534,6,0.0112
b176d5ef-843d-449b-8b44-8da40dc8351e,Nike shoes,0.95,object,middle-center,1355,45,0.0332
b176d5ef-843d-449b-8b44-8da40dc8351e,brown pants,0.85,object,middle-center,1355,45,0.0332
b176d5ef-843d-449b-8b44-8da40dc8351e,white surface,0.9,background,bottom-center,1355,45,0.0332
a250e4f7-9554-4373-84b9-36146dc8e942,woman,0.95,object,middle-center,483,5,0.0104
a250e4f7-9554-4373-84b9-36146dc8e942,handbag,0.85,object,bottom-left,483,5,0.0104
a250e4f7-9554-4373-84b9-36146dc8e942,background,0.9,background,unknown,483,5,0.0104
5a267281-4362-4a88-bd01-bbea822749b8,sneaker,0.95,object,middle-center,933,25,0.0268
5a267281-4362-4a88-bd01-bbea822749b8,color scheme,0.9,background,unknown,933,25,0.0268
5a267281-4362-4a88-bd01-bbea822749b8,sporty appearance,0.85,emotion,middle-center,933,25,0.0268
e7749c02-03c9-42dc-944c-87b4aaa7b6b8,young man,0.95,object,middle-center,1403,59,0.0421
e7749c02-03c9-42dc-944c-87b4aaa7b6b8,athletic wear,0.9,object,middle-center,1403,59,0.0421
e7749c02-03c9-42dc-944c-87b4aaa7b6b8,sneakers,0.85,object,middle-center,1403,59,0.0421
e7749c02-03c9-42dc-944c-87b4aaa7b6b8,building,0.8,background,middle-center,1403,59,0.0421
c2cd5467-cd2d-4ee0-a1be-f37796a273a2,purple hoodies,0.95,object,middle-center,1072,37,0.0345
c2cd5467-cd2d-4ee0-a1be-f37796a273a2,unique designs,0.9,object,middle-center,1072,37,0.0345
c2cd5467-cd2d-4ee0-a1be-f37796a273a2,various positions,0.85,object,top-center,1072,37,0.0345
c2cd5467-cd2d-4ee0-a1be-f37796a273a2,cohesive look,0.8,emotion,bottom-center,1072,37,0.0345
c2cd5467-cd2d-4ee0-a1be-f37796a273a2,visually appealing,0.87,emotion,unknown,1072,37,0.0345
9edc9e75-ba3e-4a48-880c-0c3fe6aa8f39,shoes,0.9,object,middle-center,549,12,0.0219
9edc9e75-ba3e-4a48-880c-0c3fe6aa8f39,clothing items,0.85,object,middle-center,549,12,0.0219
9edc9e75-ba3e-4a48-880c-0c3fe6aa8f39,white,0.8,color,unknown,549,12,0.0219
9edc9e75-ba3e-4a48-880c-0c3fe6aa8f39,black,0.8,color,unknown,549,12,0.0219
9edc9e75-ba3e-4a48-880c-0c3fe6aa8f39,organization,0.9,emotion,unknown,549,12,0.0219
cf8cb835-39a4-48c2-8078-74c611c8cb39,jacket,0.9,object,top-left,552,6,0.0109
cf8cb835-39a4-48c2-8078-74c611c8cb39,sweater,0.85,object,top-center,552,6,0.0109
cf8cb835-39a4-48c2-8078-74c611c8cb39,pants,0.8,object,top-right,552,6,0.0109
5cbd2779-3115-4794-8516-c1a3049401c8,sneakers,0.95,object,middle-center,496,11,0.0222
5cbd2779-3115-4794-8516-c1a3049401c8,pink background,0.9,background,unknown,496,11,0.0222
5cbd2779-3115-4794-8516-c1a3049401c8,Nike logo,0.85,object,middle-left,496,11,0.0222
3904a9f5-6336-43db-8183-1be71810408b,white and blue shoe,0.95,object,middle-center,1408,57,0.0405
3904a9f5-6336-43db-8183-1be71810408b,red stripe,0.9,object,middle-center,1408,57,0.0405
3904a9f5-6336-43db-8183-1be71810408b,Nike logo,0.93,object,middle-center,1408,57,0.0405
0669c9ff-3df1-4cf0-9f8a-ac36a52afc4e,Nike shoes,0.95,object,middle-center,864,27,0.0313
0669c9ff-3df1-4cf0-9f8a-ac36a52afc4e,background,0.9,background,unknown,864,27,0.0313
0669c9ff-3df1-4cf0-9f8a-ac36a52afc4e,shoe laces,0.85,object,middle-center,864,27,0.0313
1fe92a6b-1b90-4529-be09-c73432b0693f,red dress,0.9,object,top-left,419,7,0.0167
1fe92a6b-1b90-4529-be09-c73432b0693f,red jacket,0.85,object,middle-center,419,7,0.0167
1fe92a6b-1b90-4529-be09-c73432b0693f,red skirt,0.8,object,bottom-right,419,7,0.0167
1fe92a6b-1b90-4529-be09-c73432b0693f,vibrant colors,0.9,emotion,unknown,419,7,0.0167
1fe92a6b-1b90-4529-be09-c73432b0693f,stylish,0.88,emotion,unknown,419,7,0.0167
9f6936e9-c2fa-4764-a108-0057030d2adc,Nike sneakers,0.95,object,bottom-right,517,10,0.0193
9f6936e9-c2fa-4764-a108-0057030d2adc,blue jean jacket,0.92,object,middle-left,517,10,0.0193
9f6936e9-c2fa-4764-a108-0057030d2adc,casual vibe,0.88,emotion,middle-center,517,10,0.0193
e71b0e45-eddc-449e-93e9-4b30718cc42d,sneakers,0.95,object,middle-center,476,4,0.0084
e71b0e45-eddc-449e-93e9-4b30718cc42d,price tag,0.85,object,middle-left,476,4,0.0084
e71b0e45-eddc-449e-93e9-4b30718cc42d,white background,0.9,background,unknown,476,4,0.0084
0507e74b-bde4-4336-b5b8-493b33f04a90,soccer shoe,0.95,object,middle-center,510,9,0.0176
0507e74b-bde4-4336-b5b8-493b33f04a90,contrast,0.9,emotion,unknown,510,9,0.0176
0507e74b-bde4-4336-b5b8-493b33f04a90,appealing design,0.85,emotion,unknown,510,9,0.0176
4506794a-1a60-4f9e-b170-be44aa2bf5c5,Nike Air Force 1 sneaker,0.9,object,middle-center,509,8,0.0157
4506794a-1a60-4f9e-b170-be44aa2bf5c5,blue background,0.85,background,unknown,509,8,0.0157
4506794a-1a60-4f9e-b170-be44aa2bf5c5,distinctive design,0.8,emotion,unknown,509,8,0.0157
8abb0320-3378-4144-bcec-1f9c713e54ed,young boy,0.95,object,middle-center,1096,36,0.0328
8abb0320-3378-4144-bcec-1f9c713e54ed,blue shirt,0.9,object,middle-center,1096,36,0.0328
8abb0320-3378-4144-bcec-1f9c713e54ed,yellow shoes,0.88,object,middle-center,1096,36,0.0328
8abb0320-3378-4144-bcec-1f9c713e54ed,grassy field,0.92,background,middle-center,1096,36,0.0328
8abb0320-3378-4144-bcec-1f9c713e54ed,blue sky,0.85,background,top-center,1096,36,0.0328
8abb0320-3378-4144-bcec-1f9c713e54ed,fence,0.8,background,bottom-left,1096,36,0.0328
ac4a3bf7-16fd-4046-b5ba-89c985bc89de,sneakers,0.95,object,middle-center,872,16,0.0183
ac4a3bf7-16fd-4046-b5ba-89c985bc89de,white sole,0.9,object,middle-center,872,16,0.0183
ac4a3bf7-16fd-4046-b5ba-89c985bc89de,pink background,0.85,background,unknown,872,16,0.0183
bb0c51d0-bbb9-45a1-9fda-7c00d8593821,woman,0.95,object,middle-center,612,15,0.0245
bb0c51d0-bbb9-45a1-9fda-7c00d8593821,white tank top,0.9,object,middle-center,612,15,0.0245
bb0c51d0-bbb9-45a1-9fda-7c00d8593821,curves,0.85,emotion,unknown,612,15,0.0245
bb0c51d0-bbb9-45a1-9fda-7c00d8593821,elegance,0.88,emotion,unknown,612,15,0.0245
bb0c51d0-bbb9-45a1-9fda-7c00d8593821,hair pulled back,0.92,object,middle-center,612,15,0.0245
bb0c51d0-bbb9-45a1-9fda-7c00d8593821,balanced composition,0.93,background,unknown,612,15,0.0245
bb50a2c4-a996-4fe8-acbf-97409aaeebf6,sneaker,0.95,object,middle-center,466,13,0.0279
bb50a2c4-a996-4fe8-acbf-97409aaeebf6,brand,0.9,object,unknown,466,13,0.0279
bb50a2c4-a996-4fe8-acbf-97409aaeebf6,style,0.85,emotion,unknown,466,13,0.0279
6131638a-e37d-4d5c-bf02-6c41ac538b56,young boy,0.95,object,middle-center,621,10,0.0161
6131638a-e37d-4d5c-bf02-6c41ac538b56,sweatsuit,0.9,object,middle-center,621,10,0.0161
6131638a-e37d-4d5c-bf02-6c41ac538b56,soccer ball,0.85,object,bottom-left,621,10,0.0161
6131638a-e37d-4d5c-bf02-6c41ac538b56,room,0.7,background,unknown,621,10,0.0161
55acd44c-697e-41ec-bad0-2313cd2ab38a,sneakers,0.95,object,middle-center,427,4,0.0094
55acd44c-697e-41ec-bad0-2313cd2ab38a,stool,0.85,object,bottom-left,427,4,0.0094
55acd44c-697e-41ec-bad0-2313cd2ab38a,fence,0.8,background,unknown,427,4,0.0094
55acd44c-697e-41ec-bad0-2313cd2ab38a,composition,0.9,emotion,unknown,427,4,0.0094
e3b5f5ef-8e39-4eaf-9a51-e3f2282d7344,young man,0.85,object,middle-center,1051,40,0.0381
e3b5f5ef-8e39-4eaf-9a51-e3f2282d7344,Nike Tech Fleece jacket,0.95,object,middle-center,1051,40,0.0381
e3b5f5ef-8e39-4eaf-9a51-e3f2282d7344,dark background,0.9,background,unknown,1051,40,0.0381
e3b5f5ef-8e39-4eaf-9a51-e3f2282d7344,white shirt,0.8,object,bottom-center,1051,40,0.0381
e3b5f5ef-8e39-4eaf-9a51-e3f2282d7344,styled hair,0.75,object,top-center,1051,40,0.0381
62dcdd14-1da0-4c3b-bd46-68ea7f2459f8,white sneakers,0.95,object,middle-center,852,26,0.0305
62dcdd14-1da0-4c3b-bd46-68ea7f2459f8,yellow socks,0.9,object,middle-center,852,26,0.0305
62dcdd14-1da0-4c3b-bd46-68ea7f2459f8,clean composition,0.85,background,unknown,852,26,0.0305
5fd538b3-5fea-4079-b8d4-0ac596280506,Nike shoes,0.95,object,middle-center,951,29,0.0305
5fd538b3-5fea-4079-b8d4-0ac596280506,green carpet,0.85,background,unknown,951,29,0.0305
5fd538b3-5fea-4079-b8d4-0ac596280506,white socks,0.8,object,middle-center,951,29,0.0305
5fd538b3-5fea-4079-b8d4-0ac596280506,person,0.75,object,middle-center,951,29,0.0305
fad801dd-327b-46cd-8637-5ec32f633470,Nike Dunk shoes,0.95,object,middle-center,801,19,0.0237
fad801dd-327b-46cd-8637-5ec32f633470,wooden surface,0.9,background,bottom-center,801,19,0.0237
fad801dd-327b-46cd-8637-5ec32f633470,balance,0.85,emotion,unknown,801,19,0.0237
495c8243-4c50-4d87-b7d3-42ec910b6c2e,Nike shoes,0.9,object,middle-center,1368,65,0.0475
495c8243-4c50-4d87-b7d3-42ec910b6c2e,blue jeans,0.8,object,middle-center,1368,65,0.0475
495c8243-4c50-4d87-b7d3-42ec910b6c2e,hardwood floor,0.7,background,bottom-center,1368,65,0.0475
1a889039-7e65-4fd1-9d7d-65249625f406,Nike Air Max shoe,0.95,object,middle-center,458,8,0.0175
1a889039-7e65-4fd1-9d7d-65249625f406,modern design,0.9,emotion,unknown,458,8,0.0175
